"Active-Duty Personnel by Service Branch, Sex, and Pay Grade",,,,,,,,,,,,,,,,,,
,Army,,,Navy,,,Marine Corps,,,Air Force,,,Space Force,,,Total,,
Pay Grade,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
E1,"7,429","1,326","8,755","8,903","3,434","12,337","7,849",655,"8,504","8,537","1,933","10,470",179,38,217,"32,897","7,386","40,283"
E2,"22,338","4,336","26,674","17,504","5,833","23,337","15,034","1,684","16,718","7,343","2,019","9,362",186,41,227,"62,405","13,913","76,318"
E3,"43,775","10,229","54,004","25,436","9,103","34,539","35,239","4,174","39,413","37,324","10,369","47,693","1,015",194,"1,209","142,789","34,069","176,858"
E4,"79,234","15,143","94,377","33,859","9,959","43,818","28,519","2,961","31,480","53,185","15,055","68,240",541,179,720,"195,338","43,297","238,635"
E5,"54,803","10,954","65,757","58,142","16,169","74,311","22,262","2,670","24,932","40,614","10,762","51,376",859,173,"1,032","176,680","40,728","217,408"
E6,"49,502","7,363","56,865","45,833","9,950","55,783","12,225","1,529","13,754","31,400","6,679","38,079",853,147,"1,000","139,813","25,668","165,481"
E7,"30,264","4,410","34,674","19,046","3,434","22,480","7,720",747,"8,467","18,309","4,807","23,116",535,114,649,"75,874","13,512","89,386"
E8,"9,482","1,472","10,954","6,007",850,"6,857","3,495",293,"3,788","3,876","1,221","5,097",112,25,137,"22,972","3,861","26,833"
E9,"2,865",394,"3,259","2,574",368,"2,942","1,515",82,"1,597","1,903",523,"2,426",47,16,63,"8,904","1,383","10,287"
Total Enlisted,"299,692","55,627","355,319","217,304","59,100","276,404","133,858","14,795","148,653","202,491","53,368","255,859","4,327",927,"5,254","857,672","183,817","1,041,489"
W1,"3,727",460,"4,187",44,4,48,494,44,538,27,1,28,N/A*,N/A*,N/A*,"4,292",509,"4,801"
W2,"6,024",692,"6,716",641,91,732,725,53,778,33,1,34,N/A*,N/A*,N/A*,"7,423",837,"8,260"
W3,"2,794",346,"3,140",744,115,859,518,32,550,0,0,0,N/A*,N/A*,N/A*,"4,056",493,"4,549"
W4,"1,378",137,"1,515",432,41,473,265,12,277,0,0,0,N/A*,N/A*,N/A*,"2,075",190,"2,265"
W5,494,43,537,69,6,75,104,3,107,0,0,0,N/A*,N/A*,N/A*,667,52,719
Total Warrant Officers,"14,417","1,678","16,095","1,930",257,"2,187","2,106",144,"2,250",60,2,62,N/A*,N/A*,N/A*,"18,513","2,081","20,594"
O1,"7,122","2,400","9,522","5,497","1,766","7,263","2,412",366,"2,778","5,048","1,985","7,033",412,152,564,"20,491","6,669","27,160"
O2,"9,550","3,006","12,556","5,544","1,716","7,260","3,162",525,"3,687","5,045","2,037","7,082",437,155,592,"23,738","7,439","31,177"
O3,"20,986","6,053","27,039","14,480","4,830","19,310","5,385",707,"6,092","15,715","5,485","21,200",997,280,"1,277","57,563","17,355","74,918"
O4,"12,350","3,044","15,394","7,983","2,306","10,289","3,637",338,"3,975","9,682","3,440","13,122",941,209,"1,150","34,593","9,337","43,930"
O5,"6,939","1,531","8,470","5,525","1,151","6,676","1,830",137,"1,967","7,373","1,890","9,263",657,124,781,"22,324","4,833","27,157"
O6,"3,161",452,"3,613","2,644",452,"3,096",656,54,710,"2,663",569,"3,232",206,42,248,"9,330","1,569","10,899"
O7,100,18,118,101,5,106,36,2,38,99,18,117,11,2,13,347,45,392
O8,80,8,88,62,6,68,28,2,30,63,6,69,10,0,10,243,22,265
O9,46,5,51,32,2,34,17,1,18,30,7,37,4,1,5,129,16,145
O10,11,0,11,8,0,8,3,0,3,11,0,11,3,0,3,36,0,36
Total Officers,"60,345","16,517","76,862","41,876","12,234","54,110","17,166","2,132","19,298","45,729","15,437","61,166","3,678",965,"4,643","168,794","47,285","216,079"
Total,"374,454","73,822","448,276","261,110","71,591","332,701","153,130","17,071","170,201","248,280","68,807","317,087","8,005","1,892","9,897","1,044,979","233,183","1,278,162"
Source: DMDC Active-Duty Military Personnel Master File (June 2025),,,,,,,,,,,,,,,,,,